Canonical SMILES,Molecule IDs
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,"CHEMBL53711, CHEMBL53711, CHEMBL53711, CHEMBL53711, CHEMBL53711, CHEMBL53711, CHEMBL53711, CHEMBL53711"
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,"CHEMBL35820, CHEMBL35820, CHEMBL35820, CHEMBL35820"
CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,"CHEMBL53753, CHEMBL53753, CHEMBL53753, CHEMBL53753, CHEMBL53753, CHEMBL53753, CHEMBL53753"
Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,"CHEMBL66031, CHEMBL66031"
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655, CHEMBL1173655"
COc1cc(N2CCC(N(C)C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2c[nH]c3ccccc23)n1,"CHEMBL5270693, CHEMBL5270693, CHEMBL5270693"
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410, CHEMBL3353410"
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,"CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022, CHEMBL180022"
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"CHEMBL4650319, CHEMBL4650319, CHEMBL4650319, CHEMBL4650319, CHEMBL4650319, CHEMBL4650319"
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,"CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197, CHEMBL29197"
