Canonical SMILES,Molecule IDs
CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,"CHEMBL560895, CHEMBL560895, CHEMBL560895, CHEMBL560895"
C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,"CHEMBL109480, CHEMBL109480, CHEMBL109480, CHEMBL109480, CHEMBL109480, CHEMBL109480, CHEMBL109480"
Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1I,"CHEMBL389164, CHEMBL389164"
CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](OC(=O)CN)CC4)c3)c2C1.CS(=O)(=O)O,"CHEMBL553939, CHEMBL553939, CHEMBL553939"
Cc1cn(-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)c2c1C(=O)CC(C)(C)C2,"CHEMBL563608, CHEMBL563608, CHEMBL563608"
Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1Br,"CHEMBL229943, CHEMBL229943"
CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,"CHEMBL383824, CHEMBL383824, CHEMBL383824, CHEMBL383824, CHEMBL383824, CHEMBL383824"
Cc1cc(C(=O)N2CC(F)(F)C2)ccc1[C@H]1CCCN1C(=O)c1cc(Cl)c(O)cc1O,"CHEMBL486750, CHEMBL486750, CHEMBL486750, CHEMBL486750"
COc1c(C)ncc(Cn2cnc3c(Cl)nc(N)nc32)c1C.Cl,"CHEMBL536072, CHEMBL536072"
CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,"CHEMBL252164, CHEMBL252164, CHEMBL252164"
Cc1cc(C(=O)N2CCC(F)(F)C2)ccc1[C@H]1CCCN1C(=O)c1cc(Cl)c(O)cc1O,"CHEMBL486547, CHEMBL486547, CHEMBL486547, CHEMBL486547"
CCNC(=O)c1noc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(OC)cc1,"CHEMBL252124, CHEMBL252124"
COc1cccc(-c2cc(F)ccc2[C@H]2Cc3nc(N)nc(C)c3C(=O)N2)n1,"CHEMBL3360305, CHEMBL3360305, CHEMBL3360305"
COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C.Cl,"CHEMBL557165, CHEMBL557165"
C[C@H](O)C(=O)N1CCC(CCn2c(Sc3cc4c(cc3Br)CCO4)nc3c(N)ncnc32)CC1,"CHEMBL2170480, CHEMBL2170480"
Cc1cnc(Cn2cnc3c(Cl)nc(N)nc32)c(C)c1Cl,"CHEMBL229891, CHEMBL229891"
COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,"CHEMBL278315, CHEMBL278315, CHEMBL278315, CHEMBL278315"
